Category,Common name,Scientific name,Growth form,Will you grow it?,Hardiness range,Zone 7 fit,Sun,Water,Harvest window,Harvest difficulty (1-5),Tastiness (1-5),Productivity (1-5),Edible parts / uses,Notes,Propagation,Nitrogen fixer
"Roots, tubers & rhizomes",Burdock / greater burdock,Arctium lappa,Biennial,,3-9,Wild in zone 7,Sun - part shade,Moderate,Fall - spring (year 1 roots),3,3,2,Roots; peeled leaf stalks,"Status: wild naturalized and cultivated. Tastiness: opinions are mixed or it is only good in certain preparations. Flavor: earthy, sweet, artichoke-like root. Best prep: dig first-year roots; peel and simmer, roast, or stir-fry; blanch peeled stalks. Cautions: second-year roots get woody; burrs spread easily.",Seed,No
"Roots, tubers & rhizomes",Evening primrose,Oenothera biennis,Biennial,,4-9,Wild in zone 7,Full sun,Low - moderate,Fall roots; spring shoots,3,3,2,Roots; young leaves; flower buds,Status: wild native and cultivated. Tastiness: opinions are mixed or it is only good in certain preparations. Flavor: peppery greens and mildly sweet root. Best prep: use first-year roots cooked; harvest young greens before they toughen. Notes: Often persists by reseeding in open ground..,Seed,No
"Roots, tubers & rhizomes",Parsnip,Pastinaca sativa,Biennial,,3-9,Locally reliable self-seeder,Full sun,Moderate,Fall - spring (year 1 roots),3,4,3,Roots,"Status: cultivated and wild naturalized. Tastiness: generally regarded as tasty. Flavor: sweet, nutty, carrot-like. Best prep: dig after frost for sweeter roots; roast, mash, or add to soups. Cautions: foliage and sap can cause phytophotodermatitis.",Seed,No
"Roots, tubers & rhizomes",Salsify,Tragopogon porrifolius,Biennial,,4-8,Reliable self-seeder,Full sun,Moderate,Fall - spring,3,4,2,Roots; shoots; flower buds,"Status: cultivated and wild naturalized. Tastiness: generally regarded as tasty. Flavor: mild, sweet, oyster-like root. Best prep: dig in the first year; peel roots and cook gently or use young shoots.",Seed,No
"Roots, tubers & rhizomes",Wild carrot / Queen Anne's lace,Daucus carota,Biennial,,3-9,Wild in zone 7,Full sun,Low - moderate,Fall - spring (young roots),3,2,2,Young roots; flowers; seeds,"Status: wild naturalized. Tastiness: mainly considered useful rather than notably tasty. Flavor: carroty when very young, then fibrous. Best prep: use only first-year roots while small; seeds can be used as a spice. Cautions: dangerous lookalikes include poison hemlock.",Seed,No
Leafy greens,Chickweed,Stellaria media,Winter annual,,4-9,Reliable self-seeder,Sun - part shade,Moderate - moist,Cool seasons,1,4,4,Leaves; stems; flowers,"Status: wild naturalized and cultivated. Tastiness: generally regarded as tasty. Flavor: mild, juicy, corn-silk-like. Best prep: best fresh in salads, sandwiches, or lightly wilted.",Seed,No
Leafy greens,Common mallow / cheeseweed,Malva neglecta,Annual/biennial,,4-9,Wild in zone 7,Sun - part shade,Low - moderate,Spring - fall,1,3,4,Leaves; immature fruits,"Status: wild naturalized. Tastiness: opinions are mixed or it is only good in certain preparations. Flavor: mild and mucilaginous. Best prep: best mixed into soups, sauteed greens, or used young in salads. Cautions: texture can be slippery if overused.",Seed,No
Leafy greens,Corn salad / mache,Valerianella locusta,Winter annual,,5-8,Reliable self-seeder,Sun - part shade,Moderate,Cool seasons,1,4,4,Leaves,"Status: cultivated and wild naturalized. Tastiness: generally regarded as tasty. Flavor: mild, nutty, tender. Best prep: harvest whole rosettes in cool weather for salads.",Seed,No
Leafy greens,Garden arugula / rocket,Eruca vesicaria,Annual,,4-9,Reliable self-seeder,Full sun,Moderate,Spring - fall,1,4,4,Leaves; flowers,"Status: cultivated and wild naturalized. Tastiness: generally regarded as tasty. Flavor: peppery, nutty. Best prep: best young in salads or quickly wilted. Cautions: older leaves get much hotter.",Seed,No
Leafy greens,Garden lettuce / volunteer lettuce,Lactuca sativa,Annual,,5-9,Locally reliable self-seeder,Sun - part shade,Moderate,Spring - early summer; fall,1,4,4,Leaves,Status: cultivated. Tastiness: generally regarded as tasty. Flavor: mild to pleasantly bitter depending on strain. Best prep: use volunteers young; quality varies because seedlings may not match the parent strain. Cautions: volunteers can revert or vary in quality.,Seed,No
Leafy greens,Garden orache,Atriplex hortensis,Annual,,4-9,Reliable self-seeder,Full sun,Moderate,Summer,1,4,4,Leaves; young tips,"Status: cultivated. Tastiness: generally regarded as tasty. Flavor: mild, spinach-like, slightly salty. Best prep: use as cut-and-come-again greens or wilt larger leaves.",Seed,No
