topic_folder,title,authors,year,kind,filename,doi,source_url,mid_atlantic,why
01_core_microfarm_permaculture,Permacultural Organic Market Gardening and Economic Performance,"Francois Leger, Sacha Guegan, et al.",2015,copy,Bec-Hellouin-Farm-Profitability-study.pdf,,,no,Local anchor study. Real-world economic case study of the Bec Hellouin intensive permaculture market-garden nucleus.
01_core_microfarm_permaculture,These kevin morel microfermes 2016,Kevin Morel,2016,pdf,Morel-2016-microfarm-thesis.pdf,,https://www.produire-bio.fr/wp-content/uploads/2017/10/These_kevin_morel_microfermes_2016.pdf,no,"Long-form dissertation covering French organic microfarms, their design, work organization, and viability logic beyond the single Bec Hellouin report."
01_core_microfarm_permaculture,Small can be beautiful for organic market gardens: an exploration of the economic viability of French microfarms using MERLIN,Kevin Morel et al.,2017,pdf,Morel-2017-small-can-be-beautiful.pdf,https://doi.org/10.1016/j.agsy.2017.08.008,https://cfppa-ac.scenari-community.org/FAD/moduleUC3/res/Small_can_be_beautifull_microfarmers_MOREL_et_al_2017_POST_PRINT.pdf,no,"Direct follow-on economic modeling of microfarm viability, useful for turning Bec Hellouin-style ideas into decision rules."
01_core_microfarm_permaculture,Permaculture-Scientific Evidence of Principles for the Agroecological Design of Farming Systems,Julius Krebs and Simone Bach,2018,pdf,Krebs-Bach-2018-permaculture-scientific-evidence.pdf,https://doi.org/10.3390/su10093218,https://res.mdpi.com/d_attachment/sustainability/sustainability-10-03218/article_deploy/sustainability-10-03218.pdf,no,"Bridges permaculture claims to peer-reviewed agroecological evidence, which is important for a future Codex skill."
01_core_microfarm_permaculture,A conceptual framework for alternative farmers' strategic choices: the case of French organic market gardening microfarms,Kevin Morel and Francois Leger,2016,url,Morel-Leger-2016-conceptual-framework.url,https://doi.org/10.1080/21683565.2016.1140695,https://orgprints.org/id/eprint/40495/,no,"Key conceptual paper on how alternative microfarmers balance ecological, social, and economic tradeoffs. Saved as link because direct PDF export was blocked."
02_intensive_vegetable_systems,Co-Design and Experimentation of a Prototype of Agroecological Micro-Farm Meeting the Objectives Set by Climate-Smart Agriculture,A. Felix et al.,2023,pdf,Felix-et-al-2023-agroecological-microfarm-prototype.pdf,https://doi.org/10.3390/agriculture13010159,https://res.mdpi.com/d_attachment/agriculture/agriculture-13-00159/article_deploy/agriculture-13-00159.pdf,no,"Recent experimental microfarm paper with explicit design criteria, useful for the technical side of small-scale agroecological farm planning."
02_intensive_vegetable_systems,Alternative Management Practices Improve Soil Health Indices in Intensive Vegetable Cropping Systems: A Review,Charlotte E. Norris and Katelyn A. Congreves,2018,pdf,Norris-Congreves-2018-intensive-vegetable-soil-health-review.pdf,https://doi.org/10.3389/fenvs.2018.00050,https://public-pages-files-2025.frontiersin.org/journals/environmental-science/articles/10.3389/fenvs.2018.00050/pdf,no,"High-value review for intensive vegetable production: amendments, cover crops, reduced tillage, soil biology, soil chemistry, and yield tradeoffs."
02_intensive_vegetable_systems,"Crop management, labour organization, and marketing: three key issues for improving sustainability in organic vegetable farming","Mireille Navarrete, Lucie Dupre, and Claire Lamine",2014,url,Navarrete-Dupre-Lamine-2014-crop-management-labour-marketing.url,https://doi.org/10.1080/14735903.2014.959341,https://orgprints.org/id/eprint/41046/,no,"Important market-garden systems paper on diversification, labor, and marketing. Saved as link because the direct PDF host blocked download."
02_intensive_vegetable_systems,Using cover crops to mitigate and adapt to climate change. A review,Christoph Poeplau et al.,2017,pdf,Poeplau-et-al-2017-cover-crops-climate-review.pdf,https://doi.org/10.1007/s13593-016-0410-x,https://link.springer.com/content/pdf/10.1007/s13593-016-0410-x.pdf,no,"Cover crops are foundational to ecological farming; this review supports crop-rotation, soil protection, and adaptive management decisions."
03_biochar,Use of Biochar in agriculture,A. Vera-Ruiz and coauthors,2020,pdf,Vera-Ruiz-et-al-2020-use-of-biochar-in-agriculture.pdf,https://doi.org/10.15446/abc.v25n2.79466,https://revistas.unal.edu.co/index.php/actabiol/article/download/79466/pdf,no,"Broad biochar reference for soil amendment effects, mechanisms, and agricultural use."
03_biochar,Plant growth improvement mediated by nitrate capture in co-composted biochar,M. Kammann et al.,2015,pdf,Kammann-et-al-2015-co-composted-biochar.pdf,https://doi.org/10.1038/srep11080,https://www.nature.com/articles/srep11080.pdf,no,Directly relevant to integrating biochar with composting rather than treating it as an isolated input.
03_biochar,"Linking the Belowground Microbial Composition, Diversity and Activity to Soilborne Disease Suppression and Growth Promotion of Tomato Amended with Biochar",A. Jaiswal et al.,2017,pdf,Jaiswal-et-al-2017-biochar-tomato-disease-suppression.pdf,https://doi.org/10.1038/srep44382,https://www.nature.com/articles/srep44382.pdf,no,"Connects biochar to microbiome shifts, disease suppression, and vegetable crop performance."
03_biochar,"Influence of deficit irrigation and biochar amendment on growth, physiology, and yield of cucumber in West Texas",A. Singh et al.,2025,pdf,Singh-et-al-2025-cucumber-biochar-deficit-irrigation.pdf,https://doi.org/10.1038/s41598-025-94113-y,https://www.nature.com/articles/s41598-025-94113-y.pdf,no,Recent crop-level paper showing how biochar integrates with irrigation management in practical vegetable production.
04_bokashi_em,Recycling Agricultural Waste to Enhance Sustainable Greenhouse Agriculture: Analyzing the Cost-Effectiveness and Agronomic Benefits of Bokashi and Biochar Byproducts as Soil Amendments in Citrus Nursery Production,P. Chavez-Rico and coauthors,2024,pdf,Chavez-Rico-et-al-2024-bokashi-biochar-citrus.pdf,https://doi.org/10.3390/su16146070,https://res.mdpi.com/d_attachment/sustainability/sustainability-16-06070/article_deploy/sustainability-16-06070.pdf,no,Useful modern bokashi paper because it evaluates agronomic and cost dimensions together.
04_bokashi_em,Utilization of Bokashi Composting and Animal Feed Silage for Sustainable Agricultural Waste Management and Environmental Impact Analysis,P. Chavez-Rico and coauthors,2023,pdf,Chavez-Rico-et-al-2023-bokashi-composting-waste-management.pdf,https://doi.org/10.30955/gnj.005214,https://journal.gnest.org/sites/default/files/Submissions/gnest_05214/gnest_05214_published.pdf,no,Direct bokashi systems paper on fermentation-based waste handling and farm nutrient cycling.
04_bokashi_em,"Microbes as Biofertilizers, a Potential Approach for Sustainable Crop Production",M. N. Fasusi et al.,2021,pdf,Fasusi-et-al-2021-microbes-as-biofertilizers.pdf,https://doi.org/10.3390/su13041868,https://res.mdpi.com/d_attachment/sustainability/sustainability-13-01868/article_deploy/sustainability-13-01868.pdf,no,Broad microbial inoculant reference that supports EM-style thinking with a wider scientific base.
04_bokashi_em,The potential of lactic acid bacteria in mediating the control of plant diseases and plant growth stimulation in crop production - A mini review,A. Y. M. Abdelrahman et al.,2023,pdf,Abdelrahman-et-al-2023-lactic-acid-bacteria-mini-review.pdf,https://doi.org/10.3389/fpls.2022.1047945,https://public-pages-files-2025.frontiersin.org/journals/plant-science/articles/10.3389/fpls.2022.1047945/pdf,no,Relevant to bokashi fermentation because lactic acid bacteria are a core functional group in those systems.
05_compost_soil_fertility,Waste Management through Composting: Challenges and Potentials,T. M. Awasthi et al.,2020,pdf,Awasthi-et-al-2020-waste-management-through-composting.pdf,https://doi.org/10.3390/su12114456,https://res.mdpi.com/d_attachment/sustainability/sustainability-12-04456/article_deploy/sustainability-12-04456.pdf,no,"Composting foundation paper on process control, constraints, and scaling limits."
05_compost_soil_fertility,Thermophilic bacteria and their thermozymes in composting processes: a review,A. M. Abakari et al.,2023,pdf,Abakari-et-al-2023-thermophilic-bacteria-composting-review.pdf,https://doi.org/10.1186/s40538-023-00381-z,https://link.springer.com/content/pdf/10.1186/s40538-023-00381-z.pdf,no,"Useful for process-level compost science: heat, decomposition, thermophiles, and microbial function."
06_compost_tea_soil_biology,"Sustainable Agriculture Through Compost Tea: Production, Application, and Impact on Horticultural Crops",G. Pane and coauthors,2025,pdf,Pane-et-al-2025-compost-tea-review.pdf,https://doi.org/10.3390/horticulturae11040433,https://res.mdpi.com/d_attachment/horticulturae/horticulturae-11-00433/article_deploy/horticulturae-11-00433.pdf,no,"Dedicated compost tea review focused on production methods, application logic, and horticultural outcomes."
06_compost_tea_soil_biology,Advances in plant growth-promoting bacterial inoculant technology: formulations and practical perspectives (1998-2013),A. Bashan et al.,2013,pdf,Bashan-et-al-2013-pgpr-inoculant-technology.pdf,https://doi.org/10.1007/s11104-013-1956-x,https://link.springer.com/content/pdf/10.1007/s11104-013-1956-x.pdf,no,Practical inoculant paper for turning microbial theory into deployment choices.
06_compost_tea_soil_biology,The Role of Soil Microorganisms in Plant Mineral Nutrition-Current Knowledge and Future Directions,A. Jacoby et al.,2017,pdf,Jacoby-et-al-2017-soil-microorganisms-plant-nutrition.pdf,https://doi.org/10.3389/fpls.2017.01617,https://public-pages-files-2025.frontiersin.org/journals/plant-science/articles/10.3389/fpls.2017.01617/pdf,no,"Soil biology backbone paper on nutrient mobilization, uptake, and microbe-mediated fertility."
07_fungi_mycorrhiza_biostimulants,Role of Arbuscular Mycorrhizal Fungi in Plant Growth Regulation: Implications in Abiotic Stress Tolerance,M. Begum et al.,2019,pdf,Begum-et-al-2019-amf-growth-regulation-review.pdf,https://doi.org/10.3389/fpls.2019.01068,https://public-pages-files-2025.frontiersin.org/journals/plant-science/articles/10.3389/fpls.2019.01068/pdf,no,"Core review on mycorrhizae, stress tolerance, and plant performance."
07_fungi_mycorrhiza_biostimulants,Agricultural uses of plant biostimulants,P. du Jardin,2014,pdf,duJardin-2014-agricultural-uses-of-biostimulants.pdf,https://doi.org/10.1007/s11104-014-2131-8,https://link.springer.com/content/pdf/10.1007/s11104-014-2131-8.pdf,no,"Important framework paper for inoculants, extracts, humic substances, and related biological amendments."
