Category,Common name,Scientific name,Lifecycle,Status,Zone 7 self-seeding fit,Primary edible use,Notes
"Roots, tubers & rhizomes",Burdock / greater burdock,Arctium lappa,Biennial,both,Wild in zone 7,"Roots, peeled stalks",Common wild volunteer; easiest when roots are taken in year one.
"Roots, tubers & rhizomes",Evening primrose,Oenothera biennis,Biennial,wild,Wild in zone 7,"Roots, leaves, flower buds",Often behaves as a persistent self-sowing patch once established.
"Roots, tubers & rhizomes",Parsnip,Pastinaca sativa,Biennial,both,Locally reliable self-seeder,"Roots, young greens",Needs plants left to flower in year two; wild populations also persist by reseeding.
"Roots, tubers & rhizomes",Salsify,Tragopogon porrifolius,Biennial,cultivated,Reliable self-seeder,"Roots, shoots",Often self-sows freely when a few seed heads are left standing.
"Roots, tubers & rhizomes",Wild carrot / Queen Anne's lace,Daucus carota,Biennial,wild,Wild in zone 7,"Roots, greens, seeds",Edible only with confident identification because of toxic Apiaceae lookalikes.
"Roots, tubers & rhizomes",Beet / beetroot,Beta vulgaris,Biennial,cultivated,Locally reliable self-seeder,"Roots, greens",Can reseed after overwintering and bolting in mild zone-7 winters.
"Roots, tubers & rhizomes",Swiss chard / leaf beet,Beta vulgaris var. cicla,Biennial,cultivated,Locally reliable self-seeder,"Leaves, stalks",More likely to reseed where plants overwinter successfully.
"Roots, tubers & rhizomes",Daikon / tillage radish,Raphanus sativus var. longipinnatus,Annual to biennial,cultivated,Locally reliable self-seeder,"Roots, leaves, pods",Can volunteer heavily if spring seed set is allowed.
Leafy greens,Chickweed,Stellaria media,Annual / winter annual,both,Reliable self-seeder,Tender greens,Classic cool-season self-sower in garden paths and bed edges.
Leafy greens,Common mallow / cheeseweed,Malva neglecta,Annual to short-lived perennial,wild,Wild in zone 7,"Leaves, immature fruits",Persistent from seed in disturbed soils; texture is mucilaginous.
Leafy greens,Corn salad / mache,Valerianella locusta,Annual,both,Reliable self-seeder,Salad greens,Very dependable cool-season self-sower if spring plants are left to seed.
Leafy greens,Garden arugula / rocket,Eruca vesicaria,Annual,cultivated,Reliable self-seeder,"Peppery greens, flowers",One of the easiest managed self-sowers in a vegetable garden.
Leafy greens,Garden lettuce / volunteer lettuce,Lactuca sativa,Annual,cultivated,Locally reliable self-seeder,Greens,Volunteers best where some summer seed shatter is tolerated.
Leafy greens,Garden orache,Atriplex hortensis,Annual,cultivated,Reliable self-seeder,Leaves,Useful warm-weather spinach substitute that often returns from dropped seed.
Leafy greens,Garlic mustard,Alliaria petiolata,Biennial,wild,Volunteer risk,"Leaves, flowering tops, roots","Edible but invasive; best handled as a forage-and-remove species, not intentionally spread."
Leafy greens,Hairy bittercress,Cardamine hirsuta,Annual / winter annual,wild,Wild in zone 7,Peppery greens,Explosive seed dispersal makes it a reliable volunteer.
Leafy greens,Lamb's quarters,Chenopodium album,Annual,both,Volunteer risk,"Leaves, seeds","Excellent edible weed, but prolific enough that most gardens treat it as a managed volunteer."
Leafy greens,Magenta spreen / tree spinach,Chenopodium giganteum,Annual,cultivated,Locally reliable self-seeder,Leaves,Less aggressive than common lamb's quarters but often reseeds in open soil.
Leafy greens,Miner's lettuce,Claytonia perfoliata,Annual,both,Locally reliable self-seeder,Salad greens,"Best in cool, moist conditions; can naturalize in shaded spring beds."
Leafy greens,Redroot pigweed,Amaranthus retroflexus,Annual,wild,Wild in zone 7,"Greens, seeds",Common edible amaranth volunteer in disturbed summer ground.
