Category,Common name,Scientific name,Growth form,Will you grow it?,Hardiness range,Zone 7 fit,Sun,Water,Harvest window,Harvest difficulty (1-5),Tastiness (1-5),Productivity (1-5),Edible parts / uses,Notes,Propagation,Nitrogen fixer
"Roots, tubers & rhizomes",Atlantic camas,Camassia scilloides,Herbaceous perennial,,4-8,Wild in zone 7,Sun - part shade,Moderate,Late spring,4,3,1,Bulbs,Status: wild native. Tastiness: opinions are mixed or it is only good in certain preparations. Flavor: sweet after cooking. Best prep: cook thoroughly; traditional long baking improves flavor. Cautions: must not be confused with toxic death camas.,Seed; offsets,No
"Roots, tubers & rhizomes",Chinese artichoke / crosne,Stachys affinis,Herbaceous perennial,,5-9,Hardy,Sun - part shade,Moderate,Nov - Jan,2,4,3,Tubers,"Status: cultivated. Tastiness: generally regarded as tasty. Flavor: crisp, mild, nutty. Best prep: usually best cooked, roasted, or simmered until tender. Cautions: can spread slowly.",Tuberlets,No
"Roots, tubers & rhizomes",Chinese yam / cinnamon vine,Dioscorea polystachya,Vine,,5-9,Hardy,Sun - part shade,Low - moderate,Oct - Nov,4,3,2,Tubers; bulbils,"Status: cultivated and wild naturalized. Tastiness: opinions are mixed or it is only good in certain preparations. Flavor: starchy and mild. Best prep: usually best cooked, roasted, or simmered until tender. Cautions: can be invasive; deep tubers are hard to dig.",Bulbils; tuber pieces,No
"Roots, tubers & rhizomes",Common camas,Camassia quamash,Herbaceous perennial,,4-8,Hardy,Sun - part shade,Moderate,Late spring - early summer,4,3,2,Bulbs,"Status: wild native and cultivated. Tastiness: opinions are mixed or it is only good in certain preparations. Flavor: sweet after long cooking. Best prep: long, slow baking develops the sweetness. Cautions: must not be confused with toxic death camas. Notes: Traditional cooked bulb crop.",Offsets; seed,No
"Roots, tubers & rhizomes",Groundnut / American hopniss,Apios americana,Herbaceous perennial,Yes,3-9,Hardy,Sun - part shade,Moist,Oct - Nov,3,5,4,Tubers,"Status: wild native and cultivated. Tastiness: widely regarded as highly tasty. Flavor: nutty, potato-bean flavor. Best prep: best dug after frost, then roasted, baked, or simmered until tender. Notes: Climbing legume with edible tubers and seeds.",Tuber pieces; seed,Yes
"Roots, tubers & rhizomes",Jerusalem artichoke / sunchoke,Helianthus tuberosus,Herbaceous perennial,Yes,3-9,Hardy,Full sun,Low - moderate,Nov - Mar,2,4,5,Tubers,"Status: cultivated and wild naturalized. Tastiness: generally regarded as tasty. Flavor: nutty and sweeter after frost. Best prep: best after frost; roast, saute, or puree rather than eating huge raw portions. Cautions: spreads aggressively. Notes: Very productive staple tuber crop.",Dividing tubers,No
"Roots, tubers & rhizomes",Prairie turnip,Pediomelum esculentum,Herbaceous perennial,,3-8,Hardy,Full sun,Low,Summer - fall,3,4,3,Roots,"Status: wild native and cultivated. Tastiness: generally regarded as tasty. Flavor: mild, nutty, starchy. Best prep: usually best cooked, roasted, or simmered until tender. Notes: Dryland indigenous food plant.",Seed,Yes
"Roots, tubers & rhizomes",Skirret,Sium sisarum,Herbaceous perennial,Yes,5-9,Hardy,Sun - part shade,Even moisture,Nov - Mar,3,4,3,Roots,"Status: cultivated. Tastiness: generally regarded as tasty. Flavor: sweet, parsnip-like. Best prep: usually best cooked, roasted, or simmered until tender. Notes: Clump-forming root crop.",Division; seed,No
"Roots, tubers & rhizomes",Spring beauty,Claytonia virginica,Herbaceous perennial,,3-8,Wild in zone 7,Part shade,Moderate,Early spring,4,4,1,Corms; leaves,"Status: wild native. Tastiness: generally regarded as tasty. Flavor: mild, slightly sweet. Best prep: usually best cooked, roasted, or simmered until tender. Cautions: small corms make it a minor forage food.",Seed; division,No
"Roots, tubers & rhizomes",Tiger lily,Lilium lancifolium,Herbaceous perennial,,4-9,Hardy,Sun - part shade,Moderate,Fall,3,4,3,Bulbs; flowers,Status: cultivated and wild naturalized. Tastiness: generally regarded as tasty. Flavor: starchy bulbs; mild flowers. Best prep: cook bulbs well; flowers are best used fresh or lightly cooked. Cautions: use true tiger lily; lily identity matters.,Bulb offsets,No
